X,Y,POTEAU_ID_POT,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X_EPSG32188,Y_EPSG32188,Longitude,Latitude,DESCRIPTION_CAT,NOM_ARR
-73.55721473,45.5020044,98590,1186936,13976,\P 10h-11h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VE-A,3,,5,2.0161E+13,,Réel,3- Fût,300328.813,5040233,-73.55721473,45.5020044,STATIONNEMENT,Ville-Marie
-73.55721473,45.5020044,98590,1186937,2729,\P 08h-18h LUN. AU VEN.,SV-OD,2,,5,2.0161E+13,,Réel,3- Fût,300328.813,5040233,-73.55721473,45.5020044,STATIONNEMENT,Ville-Marie
-73.55721473,45.5020044,98590,1186938,1589,\P RESERVE S3R 09h-23h,R-PF,3,,5,2.0161E+13,,Réel,3- Fût,300328.813,5040233,-73.55721473,45.5020044,STATIONNEMENT,Ville-Marie
-73.55854152,45.50929695,11932,1186923,2413,\P EN TOUT TEMPS,SD-TT,0,,2,2.0161E+13,,En conception,2- Tige et manchon,300225.719,5041043.5,-73.55854152,45.50929695,STATIONNEMENT,Ville-Marie
-73.55873908,45.50928335,11927,1186921,2413,\P EN TOUT TEMPS,SD-TT,0,,2,2.0161E+13,,En conception,3- Fût,300210.281,5041042,-73.55873908,45.50928335,STATIONNEMENT,Ville-Marie
-73.55809486,45.50897773,162925,1186920,2413,\P EN TOUT TEMPS,SD-TT,0,,4,2.0161E+13,,En conception,1- Tige et base,300260.594,5041008,-73.55809486,45.50897773,STATIONNEMENT,Ville-Marie
-73.56747715,45.50648901,34729,1185756,2413,\P EN TOUT TEMPS,SD-TT,3,,9,2.0161E+13,,Réel,2- Tige et manchon,299527.25,5040732,-73.56747715,45.50648901,STATIONNEMENT,Ville-Marie
-73.56747715,45.50648901,34729,1185755,24,\A RESERVE AUTOBUS,AR-TT,2,,9,2.0161E+13,,Réel,2- Tige et manchon,299527.25,5040732,-73.56747715,45.50648901,STATIONNEMENT,Ville-Marie
-73.55319878,45.5050613,11508,1186405,1544,\P RESERVE AUTOBUS TOURISTIQUES,R-AT,0,,9,2.0161E+13,,Réel,3- Fût,300642.875,5040572.5,-73.55319878,45.5050613,STATIONNEMENT,Ville-Marie
-73.55324066,45.5049533,80868,1186400,1576,\P RESERVE FIACRES,R-FI,3,,14,2.0161E+13,,Réel,3- Fût,300639.594,5040560.5,-73.55324066,45.5049533,STATIONNEMENT,Ville-Marie
-73.55324066,45.5049533,80868,1186401,1544,\P RESERVE AUTOBUS TOURISTIQUES,R-AT,2,,14,2.0161E+13,,Réel,3- Fût,300639.594,5040560.5,-73.55324066,45.5049533,STATIONNEMENT,Ville-Marie
-73.56421472,45.52134277,121414,1186398,2771,\P EXCEPTE 09h-17h LUN. ET JEU.,SX-JF,0,,6,2.0161E+13,,Réel,2- Tige et manchon,299783.5,5042382.5,-73.56421472,45.52134277,STATIONNEMENT,Ville-Marie
-73.56421472,45.52134277,121414,1186399,11008,\P EXCEPTE S3R 09h-17h LUN ET JEU  (2 SECTEURS),R-PM-2S,3,,6,2.0161E+13,,Réel,2- Tige et manchon,299783.5,5042382.5,-73.56421472,45.52134277,STATIONNEMENT,Ville-Marie
-73.56374924,45.52112257,14969,1186397,2771,\P EXCEPTE 09h-17h LUN. ET JEU.,SX-JF,0,,4,2.0161E+13,,Réel,4- Poteau en bois,299819.844,5042358,-73.56374924,45.52112257,STATIONNEMENT,Ville-Marie
-73.55600609,45.50745354,161338,1182593,13588,\A EN TOUT TEMPS DES DEUX COTES,AD-DC,0,,4,2.01609E+13,,Réel,3- Fût,300423.688,5040838.5,-73.55600609,45.50745354,STATIONNEMENT,Ville-Marie
-73.5601809,45.51233756,216096,1188054,16296,\P EXCEPTE MOTOS - MOTOCYCLES (PICTOGRAMMES),R-TN,3,,4,2.0161E+13,,En conception,2- Tige et manchon,300097.875,5041381.5,-73.5601809,45.51233756,STATIONNEMENT,Ville-Marie
-73.56313817,45.51053178,12503,1188051,16296,\P EXCEPTE MOTOS - MOTOCYCLES (PICTOGRAMMES),R-TN,3,,11,2.0161E+13,,En conception,3- Fût,299866.656,5041181,-73.56313817,45.51053178,STATIONNEMENT,Ville-Marie
-73.56313817,45.51053178,12503,1188050,12569,STAT. INT. DE 5H - 7H (1 MARS AU 1 DEC),SD-AJ,0,,11,2.0161E+13,,En conception,3- Fût,299866.656,5041181,-73.56313817,45.51053178,STATIONNEMENT,Ville-Marie
-73.55125537,45.49277386,239697,1185152,11,\A EN TOUT TEMPS,AD-TT,0,,1,2.0161E+13,,En conception,2- Tige et manchon,300793.868,5039206.893,-73.55125537,45.49277386,STATIONNEMENT,Ville-Marie
-73.55145975,45.49164993,239696,1185151,11,\A EN TOUT TEMPS,AD-TT,0,,1,2.0161E+13,,En conception,2- Tige et manchon,300777.813,5039082,-73.55145975,45.49164993,STATIONNEMENT,Ville-Marie
-73.55108465,45.49376023,111666,1185153,11,\A EN TOUT TEMPS,AD-TT,0,,4,2.0161E+13,,Réel,1- Tige et base,300807.281,5039316.5,-73.55108465,45.49376023,STATIONNEMENT,Ville-Marie
-73.55108355,45.49476806,236337,1185147,11,\A EN TOUT TEMPS,AD-TT,0,,2,2.0161E+13,,En conception,3- Fût,300807.438,5039428.5,-73.55108355,45.49476806,STATIONNEMENT,Ville-Marie
-73.57207949,45.4990445,133511,1185146,2413,\P EN TOUT TEMPS,SD-TT,2,,9,2.0161E+13,,En conception,2- Tige et manchon,299166.875,5039905,-73.57207949,45.4990445,STATIONNEMENT,Ville-Marie
-73.57763047,45.49618386,57698,1185144,14178,\P 07h-08h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AD-A,0,,12,2.0161E+13,,En conception,3- Fût,298732.75,5039587.5,-73.57763047,45.49618386,STATIONNEMENT,Ville-Marie
-73.57763047,45.49618386,57698,1185145,2413,\P EN TOUT TEMPS,SD-TT,2,,12,2.0161E+13,,En conception,3- Fût,298732.75,5039587.5,-73.57763047,45.49618386,STATIONNEMENT,Ville-Marie
-73.57795575,45.49634111,150396,1185142,14178,\P 07h-08h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AD-A,0,,9,2.0161E+13,,En conception,2- Tige et manchon,298707.344,5039605,-73.57795575,45.49634111,STATIONNEMENT,Ville-Marie
-73.57795575,45.49634111,150396,1185143,2413,\P EN TOUT TEMPS,SD-TT,3,,9,2.0161E+13,,En conception,2- Tige et manchon,298707.344,5039605,-73.57795575,45.49634111,STATIONNEMENT,Ville-Marie
-73.58035064,45.49733378,91481,1185138,14180,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,2,,6,2.0161E+13,,En conception,2- Tige et manchon,298520.281,5039715.5,-73.58035064,45.49733378,STATIONNEMENT,Ville-Marie
-73.58035064,45.49733378,91481,1185139,2729,\P 08h-18h LUN. AU VEN.,SV-OD,2,,6,2.0161E+13,,En conception,2- Tige et manchon,298520.281,5039715.5,-73.58035064,45.49733378,STATIONNEMENT,Ville-Marie
-73.5798215,45.49723966,217438,1185137,2413,\P EN TOUT TEMPS,SD-TT,3,,2,2.0161E+13,,En conception,2- Tige et manchon,298561.625,5039705,-73.5798215,45.49723966,STATIONNEMENT,Ville-Marie
-73.57911209,45.49975972,159560,1185136,1567,\P RESERVE CORPS DIPLOMATIQUE,R-CD,3,,5,2.0161E+13,,En conception,2- Tige et manchon,298617.344,5039985,-73.57911209,45.49975972,STATIONNEMENT,Ville-Marie
-73.57924494,45.49982262,55584,1185133,13972,\P 08h-09h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VA-A,0,,7,2.0161E+13,,En conception,2- Tige et manchon,298606.969,5039992,-73.57924494,45.49982262,STATIONNEMENT,Ville-Marie
-73.57924494,45.49982262,55584,1185134,1567,\P RESERVE CORPS DIPLOMATIQUE,R-CD,2,,7,2.0161E+13,,En conception,2- Tige et manchon,298606.969,5039992,-73.57924494,45.49982262,STATIONNEMENT,Ville-Marie
-73.55580384,45.52334934,12551,1188044,14100,\P 12h-13h MER. 1 AVRIL AU 1 DEC.,SU-NJ-A,0,,3,2.0161E+13,,En conception,4- Poteau en bois,300440.719,5042605,-73.55580384,45.52334934,STATIONNEMENT,Ville-Marie
-73.55725932,45.52428445,12418,1188041,14036,\P 12h-13h JEU. 1 AVRIL AU 1 DEC.,SU-JJ-A,0,,6,2.0161E+13,,En conception,4- Poteau en bois,300327.094,5042709,-73.55725932,45.52428445,STATIONNEMENT,Ville-Marie
-73.55725932,45.52428445,12418,1188042,2428,\P 07h30-17h JOURS D'ECOLE,SE-JE,0,,6,2.0161E+13,,En conception,4- Poteau en bois,300327.094,5042709,-73.55725932,45.52428445,STATIONNEMENT,Ville-Marie
-73.58003084,45.5002135,55594,1185131,2413,\P EN TOUT TEMPS,SD-TT,2,,5,2.0161E+13,,En conception,1- Tige et base,298545.594,5040035.5,-73.58003084,45.5002135,STATIONNEMENT,Ville-Marie
-73.57335188,45.49967808,71440,1184879,12572,STAT. INT. 4H - 5H (1 MARS AU 1 DEC),SD-AI,0,,4,2.0161E+13,,En conception,3- Fût,299067.5,5039975.5,-73.57335188,45.49967808,STATIONNEMENT,Ville-Marie
-73.5732957,45.49952514,71449,1184878,14030,STAT. INT. DE 5H - 7H (1 AVRIL AU 1 DEC),SD-AJ-A,0,,7,2.0161E+13,,En conception,3- Fût,299071.875,5039958.5,-73.5732957,45.49952514,STATIONNEMENT,Ville-Marie
-73.58082312,45.50059088,55598,1184874,12390,P 15 min 07h-19h LUN AU VEN,PV-DP,0,,11,2.0161E+13,,En conception,1- Tige et base,298483.719,5040077.5,-73.58082312,45.50059088,STATIONNEMENT,Ville-Marie
-73.58082312,45.50059088,55598,1184876,13980,\P 12h-13h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VJ-A,0,,11,2.0161E+13,,En conception,1- Tige et base,298483.719,5040077.5,-73.58082312,45.50059088,STATIONNEMENT,Ville-Marie
-73.58082312,45.50059088,55598,1184877,1589,\P RESERVE S3R 09h-23h,R-PF,2,,11,2.0161E+13,,En conception,1- Tige et base,298483.719,5040077.5,-73.58082312,45.50059088,STATIONNEMENT,Ville-Marie
-73.58138557,45.5010269,153346,1184872,13830,\P 12h-13h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JJ-A,0,,3,2.0161E+13,,Réel,1- Tige et base,298439.813,5040126,-73.58138557,45.5010269,STATIONNEMENT,Ville-Marie
-73.58138557,45.5010269,153346,1184873,1661,\P RESERVE S3R 16h-23h LUN A VEN ET 9h-23h SAM ET DIM,R-RP,3,,3,2.0161E+13,,Réel,1- Tige et base,298439.813,5040126,-73.58138557,45.5010269,STATIONNEMENT,Ville-Marie
-73.57927679,45.50000706,55579,1184871,2441,\P LIVRAISON SEULEMENT 08h-19h LUN. AU VEN.,SL-JD,3,,9,2.0161E+13,,En conception,2- Tige et manchon,298604.5,5040012.5,-73.57927679,45.50000706,STATIONNEMENT,Ville-Marie
-73.5789739,45.49987229,55581,1184867,13823,\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JA-A,0,,6,2.0161E+13,,En conception,2- Tige et manchon,298628.156,5039997.5,-73.5789739,45.49987229,STATIONNEMENT,Ville-Marie
-73.5789739,45.49987229,55581,1184868,1762,\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS,RD-TT,3,,6,2.0161E+13,,En conception,2- Tige et manchon,298628.156,5039997.5,-73.5789739,45.49987229,STATIONNEMENT,Ville-Marie
-73.5789739,45.49987229,55581,1184869,2441,\P LIVRAISON SEULEMENT 08h-19h LUN. AU VEN.,SL-JD,2,,6,2.0161E+13,,En conception,2- Tige et manchon,298628.156,5039997.5,-73.5789739,45.49987229,STATIONNEMENT,Ville-Marie
-73.58117226,45.49700025,25274,1184860,14180,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0,,10,2.0161E+13,,Réel,2- Tige et manchon,298456.031,5039678.5,-73.58117226,45.49700025,STATIONNEMENT,Ville-Marie
-73.58117226,45.49700025,25274,1184861,2409,\P 18h-24h,SD-SR,2,,10,2.0161E+13,,Réel,2- Tige et manchon,298456.031,5039678.5,-73.58117226,45.49700025,STATIONNEMENT,Ville-Marie
-73.56250357,45.51063112,235237,1184948,2413,\P EN TOUT TEMPS,SD-TT,3,,3,2.0161E+13,,Réel,2- Tige et manchon,299916.25,5041192,-73.56250357,45.51063112,STATIONNEMENT,Ville-Marie
-73.56250357,45.51063112,235237,1184949,1622,\P RESERVE S3R          (EN TOUT TEMPS),R-QG,2,,3,2.0161E+13,,Réel,2- Tige et manchon,299916.25,5041192,-73.56250357,45.51063112,STATIONNEMENT,Ville-Marie
-73.56250357,45.51063112,235237,1184947,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,3,2.0161E+13,,Réel,2- Tige et manchon,299916.25,5041192,-73.56250357,45.51063112,STATIONNEMENT,Ville-Marie
-73.58207756,45.51326426,165537,1185435,11,\A EN TOUT TEMPS,AD-TT,0,,6,2.0161E+13,,Réel,10- Fût et feux,298387.125,5041486,-73.58207756,45.51326426,STATIONNEMENT,Ville-Marie
-73.55159853,45.49168586,239691,1185427,11,\A EN TOUT TEMPS,AD-TT,0,,2,2.0161E+13,,En conception,3- Fût,300766.969,5039086,-73.55159853,45.49168586,STATIONNEMENT,Ville-Marie
-73.55144504,45.49260377,111660,1185426,11,\A EN TOUT TEMPS,AD-TT,0,,1,2.0161E+13,,En conception,4- Poteau en bois,300779.031,5039188,-73.55144504,45.49260377,STATIONNEMENT,Ville-Marie
-73.55129745,45.4934272,239686,1185424,11,\A EN TOUT TEMPS,AD-TT,0,,2,2.0161E+13,,En conception,3- Fût,300790.625,5039279.5,-73.55129745,45.4934272,STATIONNEMENT,Ville-Marie
-73.55933959,45.51557743,12622,1182843,14085,\P 07h-08h MAR. 1 AVRIL AU 1 DEC.,SU-MS-A,3,,11,2.01609E+13,,Réel,3- Fût,300163.875,5041741.5,-73.55933959,45.51557743,STATIONNEMENT,Ville-Marie
-73.55933959,45.51557743,12622,1182844,11,\A EN TOUT TEMPS,AD-TT,2,,11,2.01609E+13,,Réel,3- Fût,300163.875,5041741.5,-73.55933959,45.51557743,STATIONNEMENT,Ville-Marie
-73.55881813,45.52643877,233455,1185199,67,\A 08h-09h30  16h-18h LUN. AU VEN.,AV-QE,0,,2,2.0161E+13,,En conception,2- Tige et manchon,300205.5,5042948.5,-73.55881813,45.52643877,STATIONNEMENT,Ville-Marie
-73.55881813,45.52643877,233455,1185200,11,\A EN TOUT TEMPS,AD-TT,2,,2,2.0161E+13,,En conception,2- Tige et manchon,300205.5,5042948.5,-73.55881813,45.52643877,STATIONNEMENT,Ville-Marie
-73.5589556,45.52629473,237894,1185197,2413,\P EN TOUT TEMPS,SD-TT,3,,2,2.0161E+13,,En conception,2- Tige et manchon,300194.75,5042932.5,-73.5589556,45.52629473,STATIONNEMENT,Ville-Marie
-73.55907389,45.52616869,237893,1185195,2413,\P EN TOUT TEMPS,SD-TT,2,,2,2.0161E+13,,En conception,2- Tige et manchon,300185.5,5042918.5,-73.55907389,45.52616869,STATIONNEMENT,Ville-Marie
-73.55598996,45.49925598,214367,1182064,2413,\P EN TOUT TEMPS,SD-TT,2,,5,2.01609E+13,,En conception,2- Tige et manchon,300424.313,5039927.5,-73.55598996,45.49925598,STATIONNEMENT,Ville-Marie
-73.55598996,45.49925598,214367,1182065,14093,\P 08h30-09h30 MER. 1 AVRIL AU 1 DEC.,SU-NB-A,0,,5,2.01609E+13,,En conception,2- Tige et manchon,300424.313,5039927.5,-73.55598996,45.49925598,STATIONNEMENT,Ville-Marie
-73.55598996,45.49925598,214367,1182066,1589,\P RESERVE S3R 09h-23h,R-PF,3,,5,2.01609E+13,,En conception,2- Tige et manchon,300424.313,5039927.5,-73.55598996,45.49925598,STATIONNEMENT,Ville-Marie
-73.55615877,45.49931889,58150,1182046,1589,\P RESERVE S3R 09h-23h,R-PF,2,,6,2.01609E+13,,En conception,2- Tige et manchon,300411.125,5039934.5,-73.55615877,45.49931889,STATIONNEMENT,Ville-Marie
-73.55571647,45.49927411,164168,1182044,2461,\P LIVRAISON SEULEMENT EN TOUT TEMPS,SL-TT,3,,4,2.01609E+13,,En conception,1- Tige et base,300445.688,5039929.5,-73.55571647,45.49927411,STATIONNEMENT,Ville-Marie
-73.55571647,45.49927411,164168,1182045,1589,\P RESERVE S3R 09h-23h,R-PF,2,,4,2.01609E+13,,En conception,1- Tige et base,300445.688,5039929.5,-73.55571647,45.49927411,STATIONNEMENT,Ville-Marie
-73.54509827,45.52909504,224799,1184263,11,\A EN TOUT TEMPS,AD-TT,3,,2,2.0161E+13,,Réel,2- Tige et manchon,301277.375,5043243,-73.54509827,45.52909504,STATIONNEMENT,Ville-Marie
-73.5596994,45.50972827,11938,1184229,2413,\P EN TOUT TEMPS,SD-TT,0,,3,2.0161E+13,,Réel,3- Fût,300135.281,5041091.5,-73.5596994,45.50972827,STATIONNEMENT,Ville-Marie
-73.55922923,45.50950356,11936,1184223,2413,\P EN TOUT TEMPS,SD-TT,0,,3,2.0161E+13,,Réel,3- Fût,300172,5041066.5,-73.55922923,45.50950356,STATIONNEMENT,Ville-Marie
-73.55577877,45.51903461,71681,1184884,1702,\P RESERVE VEHICULES DU SERVICE DE LA POLICE,R-VP,2,,18,2.0161E+13,,En conception,2- Tige et manchon,300442.344,5042125.5,-73.55577877,45.51903461,STATIONNEMENT,Ville-Marie
-73.55292288,45.52984755,113971,1184844,2413,\P EN TOUT TEMPS,SD-TT,0,,3,2.0161E+13,,En conception,3- Fût,300666.25,5043327,-73.55292288,45.52984755,STATIONNEMENT,Ville-Marie
-73.55460732,45.49810035,160860,1186946,2440,\P LIVRAISON SEULEMENT 08h-17h LUN. AU VEN.,SL-JC,3,,6,2.0161E+13,,Réel,2- Tige et manchon,300532.281,5039799,-73.55460732,45.49810035,STATIONNEMENT,Ville-Marie
-73.56918116,45.49895631,225338,1188074,13940,\P 22h-23h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-SH-A,0,,6,2.0161E+13,,En conception,3- Fût,299393.375,5039895,-73.56918116,45.49895631,STATIONNEMENT,Ville-Marie
-73.57586288,45.49716587,57447,1184905,1683,\P RESERVE TAXIS,R-TA,2,,7,2.0161E+13,,En conception,10- Fût et feux,298871,5039696.5,-73.57586288,45.49716587,STATIONNEMENT,Ville-Marie
-73.57560205,45.49707156,91519,1184901,14180,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0,,13,2.0161E+13,,En conception,10- Fût et feux,298891.375,5039686,-73.57560205,45.49707156,STATIONNEMENT,Ville-Marie
-73.58247414,45.49096136,223618,1184897,1571,\P RESERVE GARDERIE 15 MIN.,R-DG,2,,4,2.0161E+13,,En conception,2- Tige et manchon,298353.594,5039007.5,-73.58247414,45.49096136,STATIONNEMENT,Ville-Marie
-73.55954488,45.51338621,12404,1186593,14178,\P 07h-08h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AD-A,0,,6,2.0161E+13,,Réel,3- Fût,300147.656,5041498,-73.55954488,45.51338621,STATIONNEMENT,Ville-Marie
